+---------------------------------+-------------------------------------------------+---------------------+---------------------+---------------------+
|             Log File            |                    Slot Name                    | Transfer Start Time |  Transfer End Time  |     Job End Time    |
+---------------------------------+-------------------------------------------------+---------------------+---------------------+---------------------+
|  condorOutput/jobraj_990.0.log  |  SlotName: slot1_1@simclu-wn01.ino.tifr.res.in  | 2024-05-29 10:29:59 | 2024-05-29 10:30:05 | 2024-05-29 13:49:47 |
|  condorOutput/jobraj_990.1.log  |  SlotName: slot2_1@simclu-wn01.ino.tifr.res.in  | 2024-05-29 10:29:59 | 2024-05-29 10:30:05 | 2024-05-29 13:37:54 |
|  condorOutput/jobraj_990.10.log |  SlotName: slot11_1@simclu-wn01.ino.tifr.res.in | 2024-05-29 10:30:03 | 2024-05-29 10:30:23 | 2024-05-29 14:03:45 |
| condorOutput/jobraj_990.100.log | SlotName: slot101_1@simclu-wn01.ino.tifr.res.in | 2024-05-29 10:30:30 | 2024-05-29 10:30:44 | 2024-05-29 13:25:09 |
| condorOutput/jobraj_990.101.log | SlotName: slot102_1@simclu-wn01.ino.tifr.res.in | 2024-05-29 10:30:31 | 2024-05-29 10:30:44 | 2024-05-29 14:08:10 |
| condorOutput/jobraj_990.102.log | SlotName: slot103_1@simclu-wn01.ino.tifr.res.in | 2024-05-29 10:30:31 | 2024-05-29 10:30:45 | 2024-05-29 14:11:30 |
| condorOutput/jobraj_990.103.log | SlotName: slot104_1@simclu-wn01.ino.tifr.res.in | 2024-05-29 10:30:31 | 2024-05-29 10:30:33 | 2024-05-29 13:03:45 |
| condorOutput/jobraj_990.104.log | SlotName: slot105_1@simclu-wn01.ino.tifr.res.in | 2024-05-29 10:30:31 | 2024-05-29 10:30:45 | 2024-05-29 14:18:41 |
| condorOutput/jobraj_990.105.log | SlotName: slot106_1@simclu-wn01.ino.tifr.res.in | 2024-05-29 10:30:31 | 2024-05-29 10:30:44 | 2024-05-29 13:51:41 |
| condorOutput/jobraj_990.106.log | SlotName: slot107_1@simclu-wn01.ino.tifr.res.in | 2024-05-29 10:30:31 | 2024-05-29 10:30:44 | 2024-05-29 14:06:45 |
| condorOutput/jobraj_990.107.log | SlotName: slot108_1@simclu-wn01.ino.tifr.res.in | 2024-05-29 10:30:32 | 2024-05-29 10:30:45 | 2024-05-29 14:08:10 |
